chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
28	3	0.846	0.8381	0.0885	0.939	0.9276	0.0401	0.942	0.9346	0.0360
28	4	0.795	0.8029	0.1090	0.909	0.9083	0.0496	0.930	0.9233	0.0448
28	5	0.782	0.7849	0.0808	0.9	0.9009	0.0386	0.921	0.9207	0.0282
28	6	0.664	0.6822	0.1465	0.851	0.8544	0.0705	0.868	0.8618	0.0701
28	7	0.6505	0.6562	0.1284	0.834	0.8366	0.0652	0.854	0.8564	0.0605
28	8	0.663	0.6613	0.1098	0.845	0.8416	0.0585	0.865	0.8599	0.0529
28	9	0.51	0.4978	0.1970	0.748	0.7643	0.1038	0.7645	0.7510	0.1127
29	1	0.8695	0.8544	0.0793	0.935	0.9327	0.0324	0.944	0.9428	0.0287
29	2	0.799	0.7847	0.1225	0.905	0.8977	0.0583	0.917	0.9093	0.0504
29	3	0.721	0.7143	0.0896	0.861	0.8619	0.0471	0.891	0.8850	0.0399
29	4	0.829	0.8284	0.0989	0.92	0.9176	0.0509	0.936	0.9323	0.0375
29	5	0.768	0.7691	0.0946	0.8905	0.8939	0.0481	0.9145	0.9101	0.0373
29	6	0.763	0.7620	0.1115	0.894	0.8904	0.0549	0.917	0.9127	0.0437
29	7	0.7295	0.7248	0.0870	0.872	0.8723	0.0412	0.892	0.8876	0.0380
29	8	0.719	0.7192	0.1127	0.869	0.8674	0.0607	0.883	0.8819	0.0484
29	9	0.572	0.5675	0.1339	0.782	0.7840	0.0794	0.813	0.8088	0.0673
2	10	0.885	0.8679	0.0857	0.949	0.9418	0.0398	0.949	0.9419	0.0384
2	11	0.8755	0.8668	0.0842	0.946	0.9405	0.0370	0.952	0.9466	0.0314
2	12	0.8135	0.8097	0.1062	0.918	0.9187	0.0461	0.928	0.9251	0.0460
2	13	0.699	0.7058	0.1761	0.864	0.8625	0.0820	0.875	0.8777	0.0696
2	14	0.7115	0.7097	0.1470	0.8705	0.8679	0.0673	0.8815	0.8832	0.0606
2	15	0.7545	0.7362	0.1658	0.889	0.8778	0.0822	0.8935	0.8860	0.0682
2	16	0.7325	0.7463	0.1085	0.878	0.8737	0.0638	0.886	0.8853	0.0518
2	17	0.635	0.6343	0.2143	0.831	0.8238	0.1115	0.833	0.8250	0.1098
2	18	0.441	0.4623	0.1577	0.737	0.7407	0.0898	0.727	0.7232	0.1072
2	1	0.959	0.9402	0.0537	0.981	0.9733	0.0241	0.974	0.9632	0.0328
2	2	0.822	0.8159	0.1066	0.924	0.9176	0.0471	0.9235	0.9221	0.0385
2	3	0.752	0.7552	0.1353	0.894	0.8894	0.0641	0.907	0.9015	0.0525
2	4	0.762	0.7481	0.1289	0.895	0.8910	0.0603	0.903	0.8943	0.0562
2	5	0.746	0.7535	0.1180	0.894	0.8955	0.0519	0.9105	0.9107	0.0428
2	6	0.763	0.7609	0.0948	0.897	0.8887	0.0496	0.908	0.9046	0.0391
2	7	0.790	0.7750	0.1096	0.895	0.8968	0.0423	0.921	0.9084	0.0550
